tourney_id,tourney_name,surface,draw_size,tourney_level,tourney_date,match_num,winner_id,winner_seed,winner_entry,winner_name,winner_hand,winner_ht,winner_ioc,winner_age,loser_id,loser_seed,loser_entry,loser_name,loser_hand,loser_ht,loser_ioc,loser_age,score,best_of,round,minutes,w_ace,w_df,w_svpt,w_1stIn,w_1stWon,w_2ndWon,w_SvGms,w_bpSaved,w_bpFaced,l_ace,l_df,l_svpt,l_1stIn,l_1stWon,l_2ndWon,l_SvGms,l_bpSaved,l_bpFaced,winner_rank,winner_rank_points,loser_rank,loser_rank_points
2004-1720,Bangkok,Hard,32,A,20040927,7,102615,,,Dennis Van Scheppingen,R,185,NED,29.2,104925,,WC,Novak Djokovic,R,188,SRB,17.3,4-6 7-5 6-4,3,R32,112,7,7,88,57,39,18,16,3,7,15,12,118,70,45,22,16,10,15,81,496,248,148
2004-439,Umag,Clay,32,A,20040719,5,103835,4,,Filippo Volandri,R,183,ITA,22.8,104925,,Q,Novak Djokovic,R,188,SRB,17.1,7-6(5) 6-1,3,R32,90,0,7,74,39,22,18,10,6,10,4,6,65,40,20,6,9,2,8,65,630,368,83
2004-773,Bucharest,Clay,32,A,20040913,14,104925,,Q,Novak Djokovic,R,188,SRB,17.3,103096,,,Arnaud Clement,R,173,FRA,26.7,2-6 6-4 6-4,3,R32,146,4,2,91,60,39,19,14,2,5,0,2,93,62,40,16,14,7,10,272,128,67,623
2004-773,Bucharest,Clay,32,A,20040913,23,103970,6,,David Ferrer,R,175,ESP,22.4,104925,,Q,Novak Djokovic,R,188,SRB,17.3,4-6 6-4 6-4,3,R16,155,1,2,107,61,34,25,15,14,19,3,1,98,62,37,14,15,5,11,54,714,272,128
2004-D045,Davis Cup G2 R1: SCG vs LAT,Carpet,4,D,20040409,5,104925,,,Novak Djokovic,R,188,SRB,16.8,108912,,,Janis Skroderis,R,,LAT,20.6,6-2 6-2,3,RR,,,,,,,,,,,,,,,,,,,,606,28,1340,2
2005-352,Paris Masters,Carpet,48,M,20051031,5,104925,,Q,Novak Djokovic,R,188,SRB,18.4,103812,,,Victor Hanescu,R,198,ROU,24.2,4-1 RET,3,R64,19,1,1,12,8,6,2,2,0,0,0,1,20,12,8,1,3,3,5,85,488,37,853
2005-352,Paris Masters,Carpet,48,M,20051031,21,104925,,Q,Novak Djokovic,R,188,SRB,18.4,103264,4,,Mariano Puerta,L,180,ARG,27.1,6-3 7-6(9),3,R32,105,12,2,82,51,38,19,11,4,5,4,2,74,49,34,12,10,6,8,85,488,9,1834
2005-352,Paris Masters,Carpet,48,M,20051031,35,103990,14,,Tommy Robredo,R,180,ESP,23.5,104925,,Q,Novak Djokovic,R,188,SRB,18.4,6-4 6-3,3,R16,81,6,3,57,33,27,11,9,3,4,4,3,78,41,27,15,10,9,13,21,1370,85,488
2005-375,Lyon,Carpet,32,A,20051024,15,104925,,,Novak Djokovic,R,188,SRB,18.4,103672,,,Ricardo Mello,L,175,BRA,24.8,7-6(5) 6-4,3,R32,105,4,3,80,51,37,12,11,5,7,5,5,90,65,38,14,11,6,9,88,468,105,398
2005-375,Lyon,Carpet,32,A,20051024,24,103694,,,Olivier Rochus,R,168,BEL,24.7,104925,,,Novak Djokovic,R,188,SRB,18.4,7-6(4) 7-5,3,R16,114,2,1,76,58,46,9,12,1,2,13,3,95,64,44,15,12,9,11,24,1160,88,468
2005-422,Cincinnati Masters,Hard,64,M,20050815,19,103602,,,Fernando Gonzalez,R,183,CHI,25.0,104925,,Q,Novak Djokovic,R,188,SRB,18.2,3-6 7-6(7) 6-4,3,R64,127,13,5,97,62,49,16,15,3,5,10,1,92,55,45,20,16,1,3,18,1385,97,440
2005-439,Umag,Clay,32,A,20050725,14,104925,,,Novak Djokovic,R,188,SRB,18.1,102231,,,Alex Calatrava,R,190,ESP,32.1,6-1 6-4,3,R32,63,1,0,52,36,26,13,9,4,4,1,1,41,25,17,7,8,1,4,97,417,163,259
2005-439,Umag,Clay,32,A,20050725,23,103507,7,,Juan Carlos Ferrero,R,183,ESP,25.4,104925,,,Novak Djokovic,R,188,SRB,18.1,6-4 6-2,3,R16,78,0,2,55,43,30,6,9,2,4,1,6,62,37,22,8,9,10,15,28,1170,97,417
2005-520,Roland Garros,Clay,128,G,20050523,34,104925,,Q,Novak Djokovic,R,188,SRB,18.0,104068,,,Robby Ginepri,R,183,USA,22.6,6-0 6-0 6-3,5,R128,78,6,2,58,39,29,12,10,1,2,4,4,80,45,22,11,11,7,16,153,287,71,550
2005-520,Roland Garros,Clay,128,G,20050523,81,103909,8,,Guillermo Coria,R,175,ARG,23.3,104925,,Q,Novak Djokovic,R,188,SRB,18.0,4-6 6-2 3-2 RET,5,R64,114,0,7,84,59,37,10,11,8,12,3,3,80,42,23,17,12,5,11,9,2040,153,287
2005-540,Wimbledon,Grass,128,G,20050620,54,104925,,Q,Novak Djokovic,R,188,SRB,18.0,104338,,,Juan Monaco,R,185,ARG,21.2,6-3 7-6(5) 6-3,5,R128,113,2,5,94,65,53,16,16,2,3,4,5,97,63,44,18,14,7,10,128,337,68,577
2005-540,Wimbledon,Grass,128,G,20050620,91,104925,,Q,Novak Djokovic,R,188,SRB,18.0,104198,,,Guillermo Garcia Lopez,R,188,ESP,22.0,3-6 3-6 7-6(5) 7-6(3) 6-4,5,R64,248,8,4,173,105,75,31,26,9,18,6,5,182,108,76,33,26,10,17,128,337,81,513
2005-540,Wimbledon,Grass,128,G,20050620,110,103206,9,,Sebastien Grosjean,R,175,FRA,27.0,104925,,Q,Novak Djokovic,R,188,SRB,18.0,7-5 6-4 5-7 6-4,5,R32,171,7,3,140,79,60,35,22,3,4,6,4,126,88,66,21,22,6,9,27,1215,128,337
2005-560,US Open,Hard,128,G,20050829,27,104925,,,Novak Djokovic,R,188,SRB,18.2,104792,,,Gael Monfils,R,193,FRA,18.9,7-5 4-6 7-6(5) 0-6 7-5,5,R128,237,3,5,179,119,81,29,26,12,16,22,5,147,78,67,39,26,1,3,97,431,43,825
2005-560,US Open,Hard,128,G,20050829,78,104925,,,Novak Djokovic,R,188,SRB,18.2,104339,22,,Mario Ancic,R,196,CRO,21.4,6-3 5-7 7-6(4) 6-3,5,R64,207,6,4,138,85,64,26,22,3,7,8,3,133,88,64,20,20,8,13,97,431,24,1230
2005-560,US Open,Hard,128,G,20050829,103,104269,,,Fernando Verdasco,L,188,ESP,21.7,104925,,,Novak Djokovic,R,188,SRB,18.2,6-1 4-6 6-7(2) 6-4 6-4,5,R32,184,13,13,148,90,69,29,24,7,11,5,3,154,106,66,26,25,6,14,48,770,97,431
2005-573,Valencia,Clay,32,A,20050404,14,102179,,,Antony Dupuis,R,185,FRA,32.1,104925,,Q,Novak Djokovic,R,188,SRB,17.8,6-4 7-5,3,R32,96,2,1,68,34,23,18,11,5,8,2,4,69,41,29,7,11,5,10,114,368,160,282
2005-580,Australian Open,Hard,128,G,20050117,17,103498,4,,Marat Safin,R,193,RUS,24.9,104925,,Q,Novak Djokovic,R,188,SRB,17.6,6-0 6-2 6-1,5,R128,74,1,1,51,27,25,13,10,0,1,1,5,66,39,16,5,11,4,13,4,3060,188,229
2005-D030,Davis Cup G1 R1: SCG vs ZIM,Clay,4,D,20050304,1,104925,,,Novak Djokovic,R,188,SRB,17.7,103413,,,Genius Chidzikwe,R,,ZIM,25.5,6-4 6-0 6-4,5,RR,,,,,,,,,,,,,,,,,,,,160,283,950,8
