ranking_date,rank,player,points
20030707,767,104925,12
20030714,768,104925,12
20030721,774,104925,12
20030728,709,104925,16
20030804,709,104925,16
20030811,660,104925,20
20030818,662,104925,20
20030825,670,104925,20
20030901,670,104925,20
20030908,675,104925,20
20030915,675,104925,20
20030922,678,104925,20
20030929,679,104925,20
20031006,681,104925,20
20031013,683,104925,20
20031020,686,104925,20
20031027,684,104925,20
20031103,680,104925,20
20031110,680,104925,20
20031117,676,104925,20
20031124,671,104925,20
20031201,675,104925,20
20031208,678,104925,20
20031215,679,104925,20
20031222,679,104925,20
20031229,679,104925,20
20040105,679,104925,20
20040112,680,104925,20
20040119,681,104925,20
20040126,681,104925,20
20040202,676,104925,20
20040209,670,104925,21
20040216,671,104925,21
20040223,663,104925,21
20040301,606,104925,27
20040308,603,104925,28
20040315,603,104925,28
20040322,612,104925,28
20040329,612,104925,28
20040405,606,104925,28
20040412,603,104925,28
20040419,600,104925,28
20040426,600,104925,28
20040503,573,104925,31
20040510,572,104925,31
20040517,515,104925,43
20040524,338,104925,95
20040531,338,104925,95
20040607,331,104925,95
20040614,333,104925,95
20040621,327,104925,95
20040628,327,104925,95
20040705,360,104925,83
20040712,366,104925,83
20040719,368,104925,83
20040726,342,104925,89
20040802,339,104925,89
20040809,348,104925,85
20040816,343,104925,85
20040823,323,104925,97
20040830,294,104925,114
20040906,294,104925,114
20040913,272,104925,128
20040920,246,104925,148
20040927,248,104925,148
20041004,240,104925,153
20041011,244,104925,153
20041018,242,104925,153
20041025,243,104925,153
20041101,242,104925,153
20041108,188,104925,216
20041115,184,104925,224
20041122,187,104925,229
20041129,186,104925,229
20041206,185,104925,229
20041213,186,104925,229
20041220,186,104925,229
20041227,186,104925,229
20050103,186,104925,229
20050110,188,104925,229
20050117,188,104925,229
20050124,188,104925,229
20050131,177,104925,249
20050207,177,104925,248
20050214,170,104925,262
20050221,171,104925,262
20050228,160,104925,283
20050307,160,104925,282
20050314,160,104925,282
20050321,160,104925,282
20050328,160,104925,282
20050404,160,104925,282
20050411,154,104925,292
20050418,153,104925,292
20050425,142,104925,304
20050502,141,104925,301
20050509,142,104925,301
20050516,128,104925,339
20050523,153,104925,287
20050530,153,104925,287
20050606,131,104925,337
20050613,127,104925,337
20050620,128,104925,337
20050627,128,104925,337
20050704,94,104925,427
20050711,96,104925,427
20050718,96,104925,427
20050725,97,104925,417
20050801,96,104925,432
20050808,98,104925,432
20050815,97,104925,440
20050822,93,104925,448
20050829,97,104925,431
20050905,97,104925,431
20050912,80,104925,492
20050919,82,104925,472
20050926,81,104925,472
20051003,85,104925,467
20051010,87,104925,467
20051017,89,104925,467
20051024,88,104925,468
20051031,85,104925,488
20051107,75,104925,515
20051114,79,104925,507
20051121,83,104925,502
20051128,82,104925,502
20051205,79,104925,502
20051212,78,104925,502
20051219,78,104925,502
20051226,78,104925,502
20060102,78,104925,502
20060109,80,104925,502
20060116,76,104925,502
20060123,76,104925,502
20060130,81,104925,487
20060206,70,104925,562
20060213,71,104925,548
20060220,72,104925,548
20060227,63,104925,591
20060306,67,104925,591
20060313,67,104925,591
20060320,66,104925,596
20060327,66,104925,596
20060403,64,104925,616
20060410,65,104925,606
20060417,67,104925,606
20060424,66,104925,614
20060501,68,104925,619
20060508,67,104925,619
20060515,71,104925,577
20060522,63,104925,627
20060529,63,104925,627
20060605,63,104925,627
20060612,40,104925,827
20060619,40,104925,827
20060626,39,104925,841
20060703,39,104925,841
20060710,35,104925,901
20060717,36,104925,901
20060724,28,104925,1071
20060731,24,104925,1176
20060807,23,104925,1176
20060814,24,104925,1168
20060821,23,104925,1183
20060828,23,104925,1183
20060904,23,104925,1183
20060911,21,104925,1183
20060918,21,104925,1183
20060925,21,104925,1183
20061002,22,104925,1183
20061009,16,104925,1350
20061016,17,104925,1360
20061023,16,104925,1465
20061030,16,104925,1465
20061106,16,104925,1380
20061113,16,104925,1380
20061120,16,104925,1380
20061127,16,104925,1380
20061204,16,104925,1380
20061211,16,104925,1380
20061218,16,104925,1380
20061225,16,104925,1380
20070101,16,104925,1380
20070108,14,104925,1530
20070115,15,104925,1530
20070122,15,104925,1530
20070129,13,104925,1675
20070205,14,104925,1625
20070212,14,104925,1625
20070219,14,104925,1625
20070226,14,104925,1665
20070305,13,104925,1715
20070312,13,104925,1715
20070319,10,104925,2060
20070326,10,104925,2060
20070402,7,104925,2540
20070409,7,104925,2540
20070416,7,104925,2540
20070423,6,104925,2595
20070430,5,104925,2595
20070507,5,104925,2720
20070514,6,104925,2735
20070521,6,104925,2810
20070528,6,104925,2810
20070604,6,104925,2810
20070611,4,104925,3010
20070618,5,104925,3010
20070625,5,104925,3010
20070702,5,104925,3010
20070709,3,104925,3310
20070716,3,104925,3310
20070723,3,104925,3245
20070730,3,104925,3200
20070806,4,104925,3200
20070813,3,104925,3700
20070820,3,104925,3670
20070827,3,104925,3670
20070903,3,104925,3670
20070910,3,104925,4295
20070917,3,104925,4295
20070924,3,104925,4295
20071001,3,104925,4295
20071008,3,104925,4145
20071015,3,104925,4370
20071022,3,104925,4470
20071029,3,104925,4470
20071105,3,104925,4470
20071112,3,104925,4470
20071119,3,104925,4470
20071119,1461,105777,1
20071126,3,104925,4470
20071126,1190,105777,4
20071203,3,104925,4470
20071203,1190,105777,4
20071210,3,104925,4470
20071210,1195,105777,4
20071217,3,104925,4470
20071217,1195,105777,4
20071224,3,104925,4470
20071224,1197,105777,4
20071231,3,104925,4470
20071231,1197,105777,4
20080107,3,104925,4315
20080107,1198,105777,4
20080114,3,104925,4315
20080114,1199,105777,4
20080121,3,104925,4315
20080121,1199,105777,4
20080128,3,104925,5165
20080128,1153,105777,5
20080204,3,104925,5165
20080204,1160,105777,5
20080211,3,104925,5165
20080211,1158,105777,5
20080218,3,104925,5165
20080218,1158,105777,5
20080225,3,104925,5070
20080225,1104,105777,6
20080303,3,104925,5010
20080303,1105,105777,6
20080310,3,104925,5130
20080310,1112,105777,6
20080317,3,104925,5130
20080317,1112,105777,6
20080324,3,104925,5280
20080324,1109,105777,6
20080331,3,104925,5280
20080331,1109,105777,6
20080407,3,104925,4785
20080407,1038,105777,7
20080414,3,104925,4785
20080414,1035,105777,7
20080421,3,104925,4725
20080421,1040,105777,7
20080428,3,104925,4935
20080428,1043,105777,7
20080505,3,104925,4750
20080505,1044,105777,7
20080512,3,104925,5125
20080512,1046,105777,7
20080519,3,104925,5225
20080519,1046,105777,7
20080526,3,104925,5225
20080526,1049,105777,7
20080602,3,104925,5225
20080602,1049,105777,7
20080609,3,104925,5225
20080609,744,105777,21
20080616,3,104925,5360
20080616,744,105777,21
20080623,3,104925,5360
20080623,747,105777,21
20080630,3,104925,5360
20080630,747,105777,21
20080707,3,104925,4945
20080707,744,105777,21
20080714,3,104925,4945
20080714,747,105777,21
20080721,3,104925,4945
20080721,752,105777,21
20080728,3,104925,5055
20080728,753,105777,21
20080804,3,104925,5390
20080804,752,105777,21
20080811,3,104925,4905
20080811,740,105777,22
20080818,3,104925,5105
20080818,747,105777,22
20080825,3,104925,5105
20080825,749,105777,22
20080901,3,104925,5105
20080901,749,105777,22
20080908,3,104925,4855
20080908,750,105777,22
20080915,3,104925,4855
20080915,746,105777,22
20080922,3,104925,4855
20080922,581,105777,40
20080929,3,104925,4960
20080929,477,105777,58
20081006,3,104925,4960
20081006,478,105777,58
20081013,3,104925,4725
20081013,480,105777,58
20081020,3,104925,4575
20081020,482,105777,58
20081027,3,104925,4575
20081027,483,105777,58
20081103,3,104925,4645
20081103,481,105777,58
20081110,3,104925,4645
20081110,477,105777,58
20081117,3,104925,5295
20081117,482,105777,57
20081124,3,104925,5295
20081124,493,105777,54
20081201,3,104925,5295
20081201,492,105777,54
20081208,3,104925,5295
20081208,493,105777,54
20081215,3,104925,5295
20081215,492,105777,54
