tourney_id,tourney_name,surface,draw_size,tourney_level,tourney_date,match_num,winner_id,winner_seed,winner_entry,winner_name,winner_hand,winner_ht,winner_ioc,winner_age,loser_id,loser_seed,loser_entry,loser_name,loser_hand,loser_ht,loser_ioc,loser_age,score,best_of,round,minutes,w_ace,w_df,w_svpt,w_1stIn,w_1stWon,w_2ndWon,w_SvGms,w_bpSaved,w_bpFaced,l_ace,l_df,l_svpt,l_1stIn,l_1stWon,l_2ndWon,l_SvGms,l_bpSaved,l_bpFaced,winner_rank,winner_rank_points,loser_rank,loser_rank_points
2012-W-INT-CAN-01A-2012,Quebec City,Hard,32,I,20120910,4,201549,7,,Petra Martic,R,181,CRO,21.6,202468,,LL,Jessica Pegula,R,170,USA,18.5,6-4 7-5,3,R32,,7,7,57,29,25,16,,0,1,6,3,76,45,29,17,,8,11,76,878,165,370
2012-W-PM-USA-01A-2012,Indian Wells,Hard,96,PM,20120305,29,201517,,,Magdalena Rybarikova,R,180,SVK,23.4,202468,,Q,Jessica Pegula,R,170,USA,18.0,5-7 6-3 6-3,3,R128,,8,2,118,61,46,27,,11,13,1,3,110,64,36,27,,11,15,83,768,305,168
2013-W-INT-CHN-01A-2013,Shenzhen,Hard,32,I,20121231,12,201609,,LL,Yi Miao Zhou,R,,CHN,21.8,202468,,Q,Jessica Pegula,R,170,USA,18.8,6-4 6-2,3,R32,,,,,,,,,,,,,,,,,,,,177,364,150,456
2013-W-INT-GER-01A-2013,Nuremberg,Clay,32,I,20130610,3,201605,,,Mandy Minella,R,180,LUX,27.5,202468,,,Jessica Pegula,R,170,USA,19.2,7-5 4-6 6-3,3,R32,,7,3,118,79,50,18,,9,14,0,6,114,63,37,25,,12,18,77,838,123,544
2013-W-INT-USA-02A-2013,Washington,Hard,32,I,20130729,14,201492,,,Andrea Petkovic,R,180,GER,25.8,202468,,Q,Jessica Pegula,R,170,USA,19.4,6-2 7-5,3,R32,,4,3,58,41,29,9,,4,6,0,5,74,37,21,17,,7,12,64,958,143,470
2013-W-PR-USA-01A-2013,Charleston,Clay,56,P,20130401,13,202468,,Q,Jessica Pegula,R,170,USA,19.0,202469,,,Garbine Muguruza,R,182,ESP,19.4,6-7(2) 6-4 7-5,3,R64,,2,4,124,81,53,19,,10,14,4,6,108,67,43,19,,5,11,148,445,76,846
2013-W-PR-USA-01A-2013,Charleston,Clay,56,P,20130401,33,202468,,Q,Jessica Pegula,R,170,USA,19.0,201621,8,,Mona Barthel,R,185,GER,22.7,7-6(4) 6-1,3,R32,,1,0,81,53,27,18,,8,12,2,2,56,34,19,6,,2,8,148,445,29,1625
2013-W-PR-USA-01A-2013,Charleston,Clay,56,P,20130401,45,201347,9,,Jelena Jankovic,R,177,SRB,28.0,202468,,Q,Jessica Pegula,R,170,USA,19.0,6-0 6-4,3,R16,,1,1,49,32,24,7,,3,5,0,2,48,28,13,6,,5,11,18,2115,148,445
2014-W-INT-CAN-01A-2014,Quebec City,Hard,32,I,20140908,3,206252,,Q,Barbora Krejcikova,R,178,CZE,18.7,203500,,,Sachia Vickery,R,162,USA,19.3,6-2 6-4,3,R32,,1,3,83,59,39,7,,11,13,1,7,55,29,20,7,,3,8,214,246,178,311
2014-W-INT-CAN-01A-2014,Quebec City,Hard,32,I,20140908,18,201556,,,Lucie Hradecka,R,177,CZE,29.3,206252,,Q,Barbora Krejcikova,R,178,CZE,18.7,3-6 7-5 6-2,3,R16,,5,10,95,50,35,18,,3,8,4,3,82,55,34,13,,4,10,181,303,214,246
2014-W-PR-RUS-01A-2014,Moscow,Hard,28,P,20141013,2,201590,,,Alison Riske Amritraj,R,173,USA,24.2,214082,,WC,Daria Kasatkina,R,170,RUS,17.4,6-1 6-2,3,R32,,2,7,85,57,33,14,,8,10,1,3,45,24,9,8,,4,10,44,1156,381,90
2015-W-INT-AUT-01A-2015,Bad Gastein,Clay,32,I,20150720,3,214082,,Q,Daria Kasatkina,R,170,RUS,18.2,202434,,,Aleksandra Krunic,R,163,SRB,22.3,6-3 6-1,3,R32,,1,0,50,34,24,9,8,2,3,0,3,64,39,19,12,8,5,10,151,337,62,889
2015-W-INT-AUT-01A-2015,Bad Gastein,Clay,32,I,20150720,18,214082,,Q,Daria Kasatkina,R,170,RUS,18.2,201504,6,,Julia Goerges,R,180,GER,26.7,3-6 6-4 6-3,3,R16,,1,2,93,66,43,12,14,6,10,6,6,92,56,36,18,14,12,17,151,337,57,962
2015-W-INT-AUT-01A-2015,Bad Gastein,Clay,32,I,20150720,25,201506,1,,Sara Errani,R,164,ITA,28.2,214082,,Q,Daria Kasatkina,R,170,RUS,18.2,6-3 3-6 6-2,3,QF,,0,1,82,63,39,6,13,6,11,2,4,100,63,30,20,13,16,23,19,2270,151,337
2015-W-INT-CAN-01A-2015,Quebec City,Hard,32,I,20150914,6,202468,,Q,Jessica Pegula,R,170,USA,21.5,202484,,,Nicole Gibbs,R,168,USA,22.5,1-6 7-6(2) 7-6(4),3,R32,,,,,,,,,,,,,,,,,,,,177,282,128,447
2015-W-INT-CAN-01A-2015,Quebec City,Hard,32,I,20150914,7,201402,,,Sesil Karatantcheva,R,171,KAZ,26.0,206252,,,Barbora Krejcikova,R,178,CZE,19.7,6-3 7-5,3,R32,,,,,,,,,,,,,,,,,,,,110,538,162,316
2015-W-INT-CAN-01A-2015,Quebec City,Hard,32,I,20150914,19,211533,,,Jelena Ostapenko,R,177,LAT,18.2,202468,,Q,Jessica Pegula,R,170,USA,21.5,3-6 6-2 7-6(3),3,R16,,,,,,,,,,,,,,,,,,,,101,596,177,282
2015-W-INT-MAR-01A-2015,Marrakech,Clay,32,I,20150427,1,202469,1,WC,Garbine Muguruza,R,182,ESP,21.5,214082,,WC,Daria Kasatkina,R,170,RUS,17.9,6-4 6-1,3,R32,,1,2,49,23,17,19,8,3,3,0,1,50,33,20,8,9,3,7,20,2075,250,177
2015-W-INT-NED-01A-2015,'s Hertogenbosch,Grass,32,I,20150608,12,202505,4,,Belinda Bencic,R,175,SUI,18.2,202468,,Q,Jessica Pegula,R,170,USA,21.2,6-2 7-6(3),3,R32,,4,1,76,50,30,14,10,7,10,0,5,66,44,23,10,10,6,11,33,1380,321,117
2015-W-INT-ROU-01A-2015,Bucharest,Clay,32,I,20150713,12,201504,4,,Julia Goerges,R,180,GER,26.6,214082,,Q,Daria Kasatkina,R,170,RUS,18.1,7-6(4) 6-4,3,R32,,7,2,70,40,32,16,11,1,2,3,1,75,57,36,13,11,3,5,57,962,156,320
2015-W-P700-RUS-01A-2015,Moscow,Hard,28,P,20151019,8,214082,,Q,Daria Kasatkina,R,170,RUS,18.4,203518,,LL,Paula Kania,R,168,POL,22.9,7-5 2-6 6-3,3,R32,,,,,,,,,,,,,,,,,,,,104,610,142,392
2015-W-P700-RUS-01A-2015,Moscow,Hard,28,P,20151019,17,214082,,Q,Daria Kasatkina,R,170,RUS,18.4,201593,7,,Irina Camelia Begu,R,181,ROU,25.1,6-3 3-6 6-3,3,R16,,,,,,,,,,,,,,,,,,,,104,610,29,1630
2015-W-P700-RUS-01A-2015,Moscow,Hard,28,P,20151019,23,214082,,Q,Daria Kasatkina,R,170,RUS,18.4,201521,5,,Carla Suarez Navarro,R,162,ESP,27.1,6-1 6-2,3,QF,,,,,,,,,,,,,,,,,,,,104,610,14,3075
2015-W-P700-RUS-01A-2015,Moscow,Hard,28,P,20151019,26,201499,,,Anastasia Pavlyuchenkova,R,177,RUS,24.2,214082,,Q,Daria Kasatkina,R,170,RUS,18.4,2-6 6-2 6-4,3,SF,,,,,,,,,,,,,,,,,,,,31,1565,104,610
2015-W-P700-USA-01A-2015,Charleston,Clay,56,P,20150406,12,203500,,WC,Sachia Vickery,R,162,USA,19.9,202468,,Q,Jessica Pegula,R,170,USA,21.1,4-6 6-3 7-6(4),3,R64,,6,7,105,57,36,29,16,7,11,3,3,104,68,49,14,15,6,10,137,391,614,31
2015-W-SL-USA-01A-2015,US Open,Hard,128,G,20150831,17,214082,,LL,Daria Kasatkina,R,170,RUS,18.3,201611,,,Daria Saville,R,166,AUS,21.4,6-2 4-6 7-5,3,R128,,2,2,93,68,41,13,15,8,13,6,7,97,65,38,14,15,9,16,133,426,38,1371
2015-W-SL-USA-01A-2015,US Open,Hard,128,G,20150831,31,202468,,Q,Jessica Pegula,R,170,USA,21.5,202421,,,Alison Van Uytvanck,R,173,BEL,21.4,7-5 6-3,3,R128,,2,3,57,32,27,14,,0,0,5,3,71,30,24,19,,5,8,260,173,55,1022
2015-W-SL-USA-01A-2015,US Open,Hard,128,G,20150831,73,214082,,LL,Daria Kasatkina,R,170,RUS,18.3,211951,,,Ana Konjuh,R,174,CRO,17.6,6-4 6-4,3,R64,,,,,,,,,,,,,,,,,,,,133,426,79,763
2015-W-SL-USA-01A-2015,US Open,Hard,128,G,20150831,80,201495,,,Dominika Cibulkova,R,161,SVK,26.3,202468,,Q,Jessica Pegula,R,170,USA,21.5,5-7 7-5 6-3,3,R64,,,,,,,,,,,,,,,,,,,,50,1066,260,173
