ranking_date,rank,player,points,tours
20090615,967,202468,11,21
20090622,972,202468,11,21
20090629,972,202468,11,21
20090706,982,202468,11,21
20090713,975,202468,11,21
20090720,967,202468,11,21
20090727,958,202468,11,21
20090803,952,202468,11,21
20090810,955,202468,11,21
20090817,957,202468,11,21
20090824,959,202468,11,21
20090831,961,202468,11,21
20090907,961,202468,11,21
20090914,949,202468,11,21
20090921,940,202468,11,21
20090928,935,202468,11,21
20091005,931,202468,11,21
20091012,935,202468,11,21
20091019,933,202468,11,21
20091026,927,202468,11,21
20091102,926,202468,11,21
20091109,922,202468,11,21
20091116,915,202468,11,21
20091123,913,202468,11,21
20091130,911,202468,11,21
20091207,905,202468,11,21
20091214,906,202468,11,21
20091221,905,202468,11,21
20091228,909,202468,11,21
20100101,909,202468,11,21
20100104,909,202468,11,21
20100111,912,202468,11,21
20100118,914,202468,11,21
20100125,914,202468,11,21
20100201,918,202468,11,21
20100208,918,202468,11,21
20100215,913,202468,11,21
20100222,911,202468,11,21
20100301,915,202468,11,21
20100308,916,202468,11,21
20100315,916,202468,11,21
20100322,913,202468,11,21
20100329,913,202468,11,21
20100405,914,202468,11,21
20100927,844,202468,14,21
20101004,860,202468,14,21
20101011,846,202468,15,21
20101018,846,202468,15,21
20101025,845,202468,15,21
20101101,848,202468,15,21
20101108,855,202468,15,21
20101115,858,202468,15,21
20101122,861,202468,15,21
20101129,861,202468,15,21
20101206,860,202468,15,21
20101213,862,202468,15,21
20101220,862,202468,15,21
20101227,861,202468,15,21
20110101,861,202468,15,21
20110103,872,202468,15,21
20110110,872,202468,15,21
20110117,874,202468,15,21
20110124,874,202468,15,21
20110131,565,202468,50,21
20110207,565,202468,50,21
20110214,561,202468,51,21
20110221,557,202468,51,21
20110228,557,202468,51,21
20110307,562,202468,51,21
20110314,562,202468,51,21
20110321,524,202468,60,21
20110328,524,202468,60,21
20110404,528,202468,60,21
20110411,517,202468,61,21
20110418,518,202468,61,21
20110425,484,202468,71,21
20110502,485,202468,72,21
20110509,409,202468,96,21
20110516,395,202468,102,21
20110523,397,202468,102,21
20110530,397,202468,102,21
20110606,355,202468,120,21
20110613,364,202468,120,21
20110620,362,202468,120,21
20110627,362,202468,120,21
20110704,335,202468,138,21
20110711,339,202468,137,21
20110718,341,202468,137,21
20110725,350,202468,137,21
20110801,348,202468,138,21
20110808,339,202468,146,21
20110815,337,202468,146,21
20110822,334,202468,146,21
20110829,334,202468,146,21
20110905,334,202468,146,21
20110912,289,202468,186,21
20110912,1006,206252,11,7
20110919,292,202468,186,21
20110919,1012,206252,11,7
