tourney_id,tourney_name,surface,draw_size,tourney_level,tourney_date,match_num,winner_id,winner_seed,winner_entry,winner_name,winner_hand,winner_ht,winner_ioc,winner_age,loser_id,loser_seed,loser_entry,loser_name,loser_hand,loser_ht,loser_ioc,loser_age,score,best_of,round,minutes,w_ace,w_df,w_svpt,w_1stIn,w_1stWon,w_2ndWon,w_SvGms,w_bpSaved,w_bpFaced,l_ace,l_df,l_svpt,l_1stIn,l_1stWon,l_2ndWon,l_SvGms,l_bpSaved,l_bpFaced,winner_rank,winner_rank_points,loser_rank,loser_rank_points
2026-AustralianOpen,Australian Open,Hard,,,20260119,,104925,4,,Novak Djokovic,,,,,206173,2,,Jannik Sinner,,,,,3-6 6-3 4-6 6-4 6-4,,SF,249,,,,,,,,,,,,,,,,,5,8,4,,2,
2026-AustralianOpen,Australian Open,Hard,,,20260119,,206173,2,,Jannik Sinner,,,,,210097,8,,Ben Shelton,,,,,6-3 6-4 6-4,,QF,143,,,,,,,,4,4,,,,,,,,,,2,,7,
2026-AustralianOpen,Australian Open,Hard,,,20260119,,206173,2,,Jannik Sinner,,,,,209260,22,,Luciano Darderi,,,,,6-1 6-3 7-6(2),,R16,129,,,,,,,,6,6,,,,,,,,,,2,,25,
2026-AustralianOpen,Australian Open,Hard,,,20260119,,206173,2,,Jannik Sinner,,,,,208118,,,Eliot Spizzirri,,,,,4-6 6-3 6-4 6-4,,R32,225,,,,,,,,10,16,,,,,,,,,,2,,85,
2026-AustralianOpen,Australian Open,Hard,,,20260119,,206173,2,,Jannik Sinner,,,,,105902,,,(WC)James Duckworth,,,,,6-1 6-4 6-2,,R64,109,,,,,,,,3,3,,,,,,,,,,2,,88,
2026-AustralianOpen,Australian Open,Hard,,,20260119,,206173,2,,Jannik Sinner,,,,,200384,,,Hugo Gaston,,,,,6-2 6-1 0-0 RET,,R128,68,,,,,,,,3,3,,,,,,,,,,2,,93,
2025-TourFinals,Tour Finals,Hard,,,20251109,,206173,2,,Jannik Sinner,,,,,207989,1,,Carlos Alcaraz,,,,,7-6(4) 7-5,,F,135,,,,,,,,2,3,,,,,,,,,,2,,1,
2025-TourFinals,Tour Finals,Hard,,,20251109,,206173,2,,Jannik Sinner,,,,,200282,7,,Alex De Minaur,,,,,7-5 6-2,,SF,112,,,,,,,,4,4,,,,,,,,,,2,,7,
2025-TourFinals,Tour Finals,Hard,,,20251109,,206173,2,,Jannik Sinner,,,,,100644,3,,Alexander Zverev,,,,,6-4 6-3,,RR,97,,,,,,,,7,7,,,,,,,,,,2,,3,
2025-TourFinals,Tour Finals,Hard,,,20251109,,206173,2,,Jannik Sinner,,,,,210097,5,,Ben Shelton,,,,,6-3 7-6(3),,RR,94,,,,,,,,1,1,,,,,,,,,,2,,5,
2025-TourFinals,Tour Finals,Hard,,,20251109,,206173,2,,Jannik Sinner,,,,,200000,8,,Felix Auger Aliassime,,,,,7-5 6-1,,RR,100,,,,,,,,0,0,,,,,,,,,,2,,8,
2025-ParisMasters,Paris Masters,Hard,,,20251027,,206173,2,,Jannik Sinner,,,,,200000,9,,Felix Auger Aliassime,,,,,6-4 7-6(4),,F,112,,,,,,,,0,0,,,,,,,,,,2,,10,
2025-ParisMasters,Paris Masters,Hard,,,20251027,,206173,2,,Jannik Sinner,,,,,100644,3,,Alexander Zverev,,,,,6-0 6-1,,SF,62,,,,,,,,0,0,,,,,,,,,,2,,3,
2025-ParisMasters,Paris Masters,Hard,,,20251027,,206173,2,,Jannik Sinner,,,,,210097,5,,Ben Shelton,,,,,6-3 6-3,,QF,69,,,,,,,,0,1,,,,,,,,,,2,,7,
2025-ParisMasters,Paris Masters,Hard,,,20251027,,206173,2,,Jannik Sinner,,,,,202103,,,Francisco Cerundolo,,,,,7-5 6-1,,R16,85,,,,,,,,1,3,,,,,,,,,,2,,21,
2025-ParisMasters,Paris Masters,Hard,,,20251027,,206173,2,,Jannik Sinner,,,,,200267,,,Zizou Bergs,,,,,6-4 6-2,,R32,87,,,,,,,,0,0,,,,,,,,,,2,,41,
2025-Vienna,Vienna,Hard,,,20251020,,206173,1,,Jannik Sinner,,,,,100644,2,,Alexander Zverev,,,,,3-6 6-3 7-5,,F,148,,,,,,,,3,4,,,,,,,,,,2,,3,
