tourney_id,tourney_name,surface,draw_size,tourney_level,tourney_date,match_num,winner_id,winner_seed,winner_entry,winner_name,winner_hand,winner_ht,winner_ioc,winner_age,loser_id,loser_seed,loser_entry,loser_name,loser_hand,loser_ht,loser_ioc,loser_age,score,best_of,round,minutes,w_ace,w_df,w_svpt,w_1stIn,w_1stWon,w_2ndWon,w_SvGms,w_bpSaved,w_bpFaced,l_ace,l_df,l_svpt,l_1stIn,l_1stWon,l_2ndWon,l_SvGms,l_bpSaved,l_bpFaced,winner_rank,winner_rank_points,loser_rank,loser_rank_points
2026-AustralianOpen,Australian Open,Hard,,,20260119,,214981,5,,Elena Rybakina,,,,,214544,1,,Aryna Sabalenka,,,,,6-4 4-6 6-4,,F,138,,,,,,,,,,,,,,,,,3,6,5,,1,
2026-AustralianOpen,Australian Open,Hard,,,20260119,,214544,1,,Aryna Sabalenka,,,,,202494,12,,Elina Svitolina,,,,,6-2 6-3,,SF,76,,,,,,,,3,4,,,,,,,,,,1,,12,
2026-AustralianOpen,Australian Open,Hard,,,20260119,,214544,1,,Aryna Sabalenka,,,,,260300,29,,Iva Jovic,,,,,6-3 6-0,,QF,89,,,,,,,,5,5,,,,,,,,,,1,,27,
2026-AustralianOpen,Australian Open,Hard,,,20260119,,214544,1,,Aryna Sabalenka,,,,,239475,17,,Victoria Mboko,,,,,6-1 7-6(1),,R16,86,,,,,,,,4,6,,,,,,,,,,1,,16,
2026-AustralianOpen,Australian Open,Hard,,,20260119,,214544,1,,Aryna Sabalenka,,,,,215713,,,Anastasia Potapova,,,,,7-6(4) 7-6(7),,R32,122,,,,,,,,3,7,,,,,,,,,,1,,55,
2026-AustralianOpen,Australian Open,Hard,,,20260119,,214544,1,,Aryna Sabalenka,,,,,222296,,,(Q)Zhuoxuan Bai,,,,,6-3 6-1,,R64,72,,,,,,,,1,2,,,,,,,,,,1,,702,
2026-AustralianOpen,Australian Open,Hard,,,20260119,,214544,1,,Aryna Sabalenka,,,,,,,,(WC)Tiantsoa Sarah Rakotomanga Rajaonah,,,,,6-4 6-1,,R128,76,,,,,,,,3,4,,,,,,,,,,1,,118,
2026-Brisbane,Brisbane,Hard,,,20260104,,214544,1,,Aryna Sabalenka,,,,,216146,16,,Marta Kostyuk,,,,,6-4 6-3,,F,78,,,,,,,,2,3,,,,,,,,,,1,,26,
2026-Brisbane,Brisbane,Hard,,,20260104,,214544,1,,Aryna Sabalenka,,,,,214096,11,,Karolina Muchova,,,,,6-3 6-4,,SF,89,,,,,,,,4,4,,,,,,,,,,1,,20,
2026-Brisbane,Brisbane,Hard,,,20260104,,214544,1,,Aryna Sabalenka,,,,,201619,5,,Madison Keys,,,,,6-3 6-3,,QF,89,,,,,,,,3,5,,,,,,,,,,1,,7,
2026-Brisbane,Brisbane,Hard,,,20260104,,214544,1,,Aryna Sabalenka,,,,,201514,,,Sorana Cirstea,,,,,6-3 6-3,,R16,79,,,,,,,,1,2,,,,,,,,,,1,,41,
2026-Brisbane,Brisbane,Hard,,,20260104,,214544,1,,Aryna Sabalenka,,,,,213710,,,Cristina Bucsa,,,,,6-0 6-1,,R32,48,,,,,,,,0,0,,,,,,,,,,1,,50,
2025-RiyadhFinals,Riyadh Finals,Hard,,,20251101,,214981,6,,Elena Rybakina,,,,,214544,1,,Aryna Sabalenka,,,,,6-3 7-6(0),,F,108,,,,,,,,,,,,,,,,,5,6,6,,1,
2025-RiyadhFinals,Riyadh Finals,Hard,,,20251101,,214544,1,,Aryna Sabalenka,,,,,216153,4,,Amanda Anisimova,,,,,6-3 3-6 6-3,,SF,143,,,,,,,,6,9,,,,,,,,,,1,,4,
2025-RiyadhFinals,Riyadh Finals,Hard,,,20251101,,214544,1,,Aryna Sabalenka,,,,,211148,8,,Jasmine Paolini,,,,,6-3 6-1,,RR,70,,,,,,,,3,4,,,,,,,,,,1,,8,
2025-RiyadhFinals,Riyadh Finals,Hard,,,20251101,,214544,1,,Aryna Sabalenka,,,,,202468,5,,Jessica Pegula,,,,,6-4 2-6 6-3,,RR,123,,,,,,,,4,8,,,,,,,,,,1,,5,
2025-RiyadhFinals,Riyadh Finals,Hard,,,20251101,,214544,1,,Aryna Sabalenka,,,,,221103,3,,Coco Gauff,,,,,7-6(5) 6-2,,RR,88,,,,,,,,3,6,,,,,,,,,,1,,3,
2025-Wuhan,Wuhan,Hard,,,20251006,,202468,6,,Jessica Pegula,,,,,214544,1,,Aryna Sabalenka,,,,,2-6 6-4 7-6(2),,SF,139,,,,,,,,,,,,,,,,,5,12,6,,1,
2025-Wuhan,Wuhan,Hard,,,20251006,,214544,1,,Aryna Sabalenka,,,,,214981,8,,Elena Rybakina,,,,,6-3 6-3,,QF,85,,,,,,,,2,3,,,,,,,,,,1,,9,
2025-Wuhan,Wuhan,Hard,,,20251006,,214544,1,,Aryna Sabalenka,,,,,214643,16,,Liudmila Samsonova,,,,,6-3 6-2,,R16,75,,,,,,,,0,0,,,,,,,,,,1,,20,
