player_id,name_first,name_last,hand,dob,ioc,height,wikidata_id
201458,Victoria,Azarenka,R,19890731,BLR,180,Q10118
201619,Madison,Keys,R,19950217,USA,178,Q34403
202468,Jessica,Pegula,R,19940224,USA,170,Q24159
202494,Elina,Svitolina,R,19940912,UKR,174,Q270249
202499,Donna,Vekic,R,19960628,CRO,179,Q648854
203389,Danielle,Collins,R,19931213,USA,178,Q17523802
206242,Beatriz,Haddad Maia,L,19960530,BRA,185,Q2380901
206252,Barbora,Krejcikova,R,19951218,CZE,178,Q11052500
211107,Katie,Boulter,R,19960801,GBR,180,Q16979848
211148,Jasmine,Paolini,R,19960104,ITA,160,Q19973674
211533,Jelena,Ostapenko,R,19970608,LAT,177,Q5551564
211651,Paula,Badosa,R,19971115,ESP,180,Q19560013
211684,Magdalena,Frech,R,19971215,POL,171,Q10636559
214082,Daria,Kasatkina,R,19970507,RUS,170,Q17144642
214096,Karolina,Muchova,R,19960821,CZE,178,Q23661750
214544,Aryna,Sabalenka,R,19980505,BLR,182,Q23448791
214939,Anna,Kalinskaya,R,19981202,RUS,175,Q20088944
214981,Elena,Rybakina,R,19990617,KAZ,184,Q42055714
215613,Emma,Navarro,R,20010518,USA,,Q62675797
216146,Marta,Kostyuk,R,20020628,UKR,175,Q28535267
216347,Iga,Swiatek,R,20010531,POL,176,Q26840238
221012,Qinwen,Zheng,R,20021008,CHN,,Q62096129
221103,Coco,Gauff,R,20040313,USA,175,Q39263365
223670,Diana,Shnaider,L,20040402,RUS,,Q107183075
259799,Mirra,Andreeva,R,20070429,RUS,,
